Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Year,Month
a lot,i am i was,21 Savage,QZ45A1700126,872,51.7,949835159,219301,32815164,73.0,905118647,6526285,55114,16502363,131214658,180070256,70.0,94446,82,28.0,160500,30.0,123783971,95694,0,3759769,True,2018,December
Adicto with Anuel AA Ozuna,Adicto with Anuel AA Ozuna,Tainy,USUM71912751,871,51.7,711861577,84611,28656289,69.0,1359220447,4586141,611826,17295595,185706534,136934639,133.0,12356,18,25.0,360047,28.0,111865989,16392,"5,576,102",1522049,False,2019,August
Tek Ba,Tek Ba ma,Semicenk,FRX452438249,875,51.6,21803486,1250,4918007,72.0,39172911,208885,0,0,0,2606582,9.0,1655,0,3.0,1583000,0.0,0,0,"16,282",90134,False,2024,May
BAND4BAND,BAND4BAND Official Video,Central Cee,USSM22401074,874,51.6,86144467,1,24,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,True,2024,June
Look What You Made Me Do,Look What You Made Me Do,Taylor Swift,USCJY1750000,876,51.6,1152346128,93178,62880711,75.0,1922214505,18201048,178524,67907529,563244716,1749919925,122.0,11382,113,43.0,239444,35.0,149366824,295550,0,5102278,False,2017,August
WOKE UP,WOKE UP,XG,JPB602401462,877,51.5,16684393,1247,25606219,74.0,19177238,873736,23413,0,0,0,18.0,582,0,2.0,338389,20.0,30995,102,0,63167,False,2024,May
Toki,Toki,Casper Magico,QM4TX2443609,878,51.5,13741023,2062,5740990,72.0,39658915,635184,0,0,0,22620459,13.0,1109,0,2.0,7386,0.0,135590,93,0,80807,False,2024,May
Young Dumb Broke,The RCA List Vol 5,Khalid,USRC11700144,881,51.4,1527159800,187813,83108168,76.0,1270330281,8766754,194595,27581217,216666194,189783592,172.0,31081,185,47.0,604640,26.0,410189803,283135,"9,133,063",6513209,False,2017,January
El Beneficio De La Duda,El Beneficio De La Duda,Grupo Firme,USA2P2433586,880,51.4,15557247,446,37375496,73.0,16286691,216933,0,0,0,0,9.0,48,0,5.0,2134351,11.0,489897,651,"19,233",91868,False,2024,May
ALV,Sentimiento Elegancia y M s Ma,Arc,QMFMF2330232,882,51.4,118490212,10053,10075643,72.0,158132299,835029,0,0,0,1207256080,8.0,18438,0,11.0,1370299,1.0,3877792,2229,0,514683,False,2023,November
In A Minute,In A Minute,Lil Baby,USUG12200033,879,51.4,171118535,81407,13177118,57.0,238335324,1764954,75540,21092926,191118526,360805538,52.0,252456,727,4.0,1324033,31.0,47511512,12228,0,1695618,True,2022,April
Save Your Tears with Ariana Grande Remix,After Hours Deluxe,The Weeknd,USUG12101839,884,51.4,1549317525,178149,71174158,73.0,385884628,4302435,89958,59135602,426511103,271720676,309.0,236616,0,166.0,2493997,58.0,87260353,20102,"5,621,588",3251107,False,2020,March
No Se Vale,un,Camilo,USSD12400019,883,51.4,19388370,1341,7152408,0.0,19658783,136351,871174,22013623,441343495,110742872,1.0,1370,0,11.0,1544792,0.0,196350,63,0,42410,False,2024,February
Jerusalema feat Nomcebo Zikode,Jerusalem,Master KG,ZA82Y1900130,885,51.3,406132477,110858,13496585,66.0,925222640,7714435,790561,54406926,849243924,33866411,92.0,125439,2,73.0,3432383,8.0,7150193,19558,0,15915419,False,2019,November
DENTRO DA HILUX,DENTRO DA HILUX Single,Luan Pereira,BCX5C2300025,888,51.2,178699480,14552,18055636,24.0,261753577,1458487,0,339300,2800000,800291411,12.0,2130,0,25.0,1406166,7.0,757,0,"483,325",121733,False,2023,August
Funk do Patinho,Funk do Patinho,Bento e Tot,BX7CP2200001,887,51.2,16197748,1827,221916,55.0,967275295,1562052,31500,2460399,40465134,16,0.0,0,0,0.0,0,0.0,0,0,0,16249,False,2022,January
El Amor de Mi Vida,El Amor de Mi Vida,Los ngeles Az,MX1722301696,886,51.2,130709283,12585,10844674,64.0,248099324,859237,682,462948,3169042,353234264,8.0,25990,0,12.0,476181,28.0,2831460,1113,0,555880,False,2023,August
Blueberry Faygo,Certified Hitmaker,Lil Mosey,USUM72001714,889,51.2,1295251940,197036,39104125,67.0,380793694,4733751,1099556,147484414,1065757953,142871159,121.0,133128,135,40.0,79824,15.0,97563481,165056,0,2786545,True,2019,November
Jiggle Jiggle,Jiggle Jiggle,Duke Jones,GBARL2201151,891,51.2,121214716,37436,6111674,56.0,12801028,183570,4762920,1378075519,-2147483648,1804738,13.0,4797,1168,2.0,2613,10.0,2538534,16457,0,1772963,False,2022,May
En la Intimidad,En la Intimidad,Big One,ARP7V2200017,890,51.2,210712407,24033,7343818,65.0,379884934,1091380,575300,54956649,793158034,18815238,8.0,6145,52,13.0,299787,9.0,0,0,0,261474,False,2023,February
Counting Stars,Native Standard,OneRepublic,USUM71301306,892,51.1,-2147483648,343135,114346295,81.0,304524339,2956756,382991,125290160,1245061983,149045425,198.0,237316,170,138.0,1401001,40.0,1394055006,1085579,0,118910,False,2013,January
Essence feat Tems,Essence feat Tems,Wizkid,USRC12003059,893,51.0,242254880,85783,13563028,66.0,418190794,2892075,280027,66345848,617402549,82045151,216.0,404288,561,21.0,229656,42.0,59766393,32203,"15,395,153",4536227,False,2020,October
Get Into It Yuh,Planet Her,Doja Cat,USRC12101535,895,51.0,603196133,97704,24305145,68.0,265715680,3742969,1300477,823930204,-2147483648,125603487,55.0,228888,4500,17.0,198575,8.0,53920294,27170,0,2436551,True,2021,June
RAVE,RAVE,Dxrk,QM4TX2201027,894,51.0,415552038,104372,42500205,71.0,281772953,4299740,814700,474655469,-2147483648,31543598,32.0,282,0,6.0,129549,2.0,3358648,7092,0,2994271,False,2022,March
No Me Conoce,No Me Conoce,Jhay Cortez,USUM71900979,896,51.0,49585127,9710,1428548,47.0,-2147483648,6577485,12412,1911710,20432637,315246980,3.0,1066,0,3.0,29899,20.0,15194156,3826,0,466976,False,2019,February
offline,att,Young Miko,QZXD92300025,900,50.9,109149345,8869,89312461,82.0,21230788,190160,0,0,0,1050568,41.0,2232,56,23.0,3065065,34.0,575037,201,0,267702,True,2024,April
TOPIA TWINS,UTOPIA,Travis Scott,USSM12305013,898,50.9,196369387,70723,12274321,74.0,26280803,447983,47600,23423522,141407787,3855807,14.0,89,2,6.0,67395,1.0,638202,1463,0,310132,True,2023,July
Janze,Janze,Xamdam Sobirov,RUA1D2384226,899,50.9,344691,77,5871,30.0,334194426,866855,154161,4397504,144597808,62334320,1.0,0,0,0.0,0,0.0,0,0,0,407695,False,2023,July
O Saki Saki From Batla House,O Saki Saki From Batla House,Neha Kakkar,INS181904064,897,50.9,144985656,15143,5892217,57.0,1662729195,8178016,3112998,41878672,462897728,255648659,18.0,2585,0,0.0,0,3.0,0,0,"403,099",717736,False,2019,July
Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,USUM71813195,901,50.9,1269760706,137601,32384233,76.0,824308720,4676578,1213771,33512447,573562180,1951219741,88.0,66461,4,55.0,606748,27.0,322220265,104680,"612,635",9755956,False,2018,October
Monoton,Monoton,Shakira,USQX92204791,903,50.8,498744348,50326,35586221,67.0,306510173,4113572,0,1230,38341,87435327,78.0,78919,0,49.0,782647,52.0,42356554,5230,0,913182,False,2022,October
Aku Sayang Tapi Kau Tak Paham,Aku Sayang Tapi Kau Tak Paham,DJ Boneng,GXBAV2345718,902,50.8,716453,22,36989,1.0,12045,174,1800000,2635212,100001777,0,0.0,0,0,0.0,0,0.0,0,0,0,0,False,2023,November
Thought You Should Know,Thought You Should Know,Morgan Wallen,USUG12202977,906,50.7,340227841,40523,6267614,73.0,137384524,667467,16626,4371872,28018314,196339404,18.0,263301,32,1.0,71,13.0,215914717,34298,"4,421,163",857184,True,2022,May
CAIRO,CAIRO,KAROL G,USUM72220925,904,50.7,443093379,35995,21160001,72.0,273852759,1690512,625126,42735677,600184949,11558006,58.0,52189,125,26.0,2263487,36.0,24842372,3643,"1,653,982",1174788,True,2022,November
Cupido,Cupido,TINI,USHR12245118,905,50.7,358240136,35751,23674275,70.0,216226939,844073,827378,189261300,-2147483648,20052884,42.0,33335,317,33.0,444294,77.0,243118,294,0,556867,False,2023,February
Raja Ji Ke Dilwa,Raja Ji Ke Dilwa,Pawan Singh,INM1Q2326022,909,50.6,4283,1,3,0.0,224819919,1249285,0,0,0,29757537,0.0,0,0,0.0,0,0.0,0,0,0,0,False,2023,December
Out th,Lyf,Yeat,USUM72217063,907,50.6,338097605,85480,16509403,73.0,54214841,680291,47215,15066093,117839587,18856089,14.0,63,37,1.0,58975,0.0,1750477,4925,"26,616,347",664273,True,2022,September
Winning Speech,Winning Speech,Karan Aujla,AUBEC2438671,910,50.6,17917738,938,5754144,73.0,28606016,488260,0,0,0,19904542,22.0,37,0,0.0,0,14.0,0,0,"97,075",44138,False,2024,May
Home,Home Single,Good Neighbours,GBUM72400322,911,50.6,205068203,19044,62137392,0.0,8916657,104172,0,1489700,24837700,2476271,67.0,22019,535,36.0,876086,65.0,17230222,2283,0,606973,False,2024,January
Sobrio,Sobrio,Maluma,USSD12100322,908,50.6,600199930,66655,24281295,64.0,743954914,2817472,189200,19480120,254681143,484483790,95.0,45992,66,26.0,1933432,59.0,41992168,9863,0,1823474,False,2021,July
Am I Dreaming Metro Boomin A AP Rocky Roisee,METRO BOOMIN PRESENTS SPIDER MAN ACROSS THE SPIDER VERSE SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE,Metro Boomin,USUM72308540,913,50.5,247682011,67166,13150883,72.0,81060467,925753,13500,6210382,38882669,703035,51.0,3710,0,9.0,44406,5.0,665747,2700,0,1390039,False,2023,June
Praise The Lord Da Shine feat Skepta,TESTING,A AP Rocky,USRC11800930,916,50.5,1244981489,295646,48300175,78.0,847656575,6337444,106923,60624218,650317525,165012134,110.0,24,0,60.0,282248,29.0,29244476,21682,0,6227926,True,2018,May
Se Acab la Cuaren,Viva el Perreo,Jowell Randy,QM6P42086452,915,50.5,73468394,23284,4240574,51.0,73136867,889596,10152900,212959708,-2147483648,996,11.0,4391,73,5.0,45642,0.0,12140646,6751,"1,635,079",1057655,True,2020,August
Look Back At It,Look Back At It,A Boogie Wit da Hoodie,USAT21812667,912,50.5,769061748,136145,21910460,73.0,233288549,2397744,202814,33604598,250645860,39277808,49.0,91002,329,17.0,25856,15.0,164836824,131521,"95,216,986",6255853,True,2018,December
End of Beginning,DECIDE,Djo,GBKPL2205058,918,50.5,710784872,64517,191969474,90.0,44322144,594352,129300,118218973,1027806256,58700775,149.0,94468,501,133.0,18315130,107.0,4025966,5291,0,3343993,False,2022,September
K POP,K POP Chopped Screwed,Travis Scott,USSM12305652,917,50.5,285481590,62715,24530922,68.0,40688228,817018,4427,3170160,129035232,331318025,46.0,15660,347,39.0,587945,37.0,4832444,3721,0,808863,True,2023,July
favorite,favorite EP,Isabel LaRosa,USRC12400507,919,50.5,123802404,7364,40769771,82.0,21277734,440764,0,2357131,20879200,126759586,43.0,1815,0,45.0,394030,44.0,333441,463,0,1040640,False,2024,March
You Me,JENNIE Special Single You Me,JENNIE,KRA402300041,914,50.5,183134509,12210,12194109,0.0,164326447,3483743,319200,56468580,518880479,1663397140,15.0,6316,35,12.0,265865,29.0,710467,737,0,345892,False,2023,October
Tattoo,Tattoo,Rauw Alejandro,QZHN21900087,922,50.4,341742937,53836,9757013,58.0,1281379386,7138308,2132748,73202309,650666266,171345507,45.0,11458,117,15.0,133918,45.0,6119993,4186,0,713534,False,2020,February
Waka Waka This Time for Africa The Official 2010 FIFA World Cup TM Song feat Freshlyground,So Fresh The Hits of Summer 2011 The Best Of 2010,Shakira,USSM11001353,921,50.4,829352129,159324,36048887,61.0,-2147483648,23606907,2250587,417038157,-2147483648,269751922,109.0,22773,43,96.0,1215762,33.0,129133941,641400,"542,470",0,False,2010,January
LA RANGER feat Myke Towers,The Academy Segunda Misi,The Academy Segunda Misi,USWL12400690,920,50.4,79786203,8939,75931694,76.0,32616728,216834,0,0,0,13323878,29.0,4514,9,25.0,1896889,18.0,545735,194,0,236268,True,2024,March
no tears left to cry,No Tears Left To Cry,Ariana Grande,USUM71805289,923,50.2,1331371819,100503,36840744,71.0,1426855223,11706422,698131,30791124,219920452,1865455236,143.0,180151,280,68.0,735006,67.0,181267091,95346,0,6415036,False,2018,April
I Fck Up,I Fck Up Single,Prince Ayaya,QZTBB2395775,924,50.1,0,44,223,0.0,92839,1676,1900000,35297892,454838946,0,2.0,0,0,0.0,0,0.0,0,0,0,238732,True,2023,October
Upside Down,Upside Down,JVKE,QM24S2008283,925,50.1,121391098,28044,6194695,54.0,19099476,465493,10318700,164374946,1710758827,517,24.0,1790,122,5.0,12865,2.0,2403391,3205,0,1184072,False,2020,August
Crawling,Papercuts,Linkin Park,USWB11201319,927,50.1,570290910,174,525584,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,False,2024,April
Nosso Quadro,AgroPlay Ver o V,AgroPlay,BCA6L2300010,926,50.1,423018422,23872,16779061,63.0,361813279,1727192,288613,21077364,277692228,841498728,21.0,17320,0,31.0,6708107,12.0,0,0,0,609133,False,2023,February
APAGA EL CEL,APAGA EL CEL Single,FloyyMenor,QZMWW2484259,929,50.0,33245898,2343,69471936,78.0,15755338,203277,0,0,0,33968779,8.0,48,0,3.0,821777,17.0,18555,27,"110,406",171732,True,2024,May
Genda Phool feat Payal Dev,Genda Phool feat Payal Dev,Badshah,INS172000876,930,50.0,86295058,7591,3058131,55.0,1022945729,6994273,5444473,128000154,1953198700,197996975,7.0,961,0,3.0,2467,7.0,519209,0,0,193040,False,2020,March
Pure Cocaine,Street Gossip,Lil Baby,USUG11802285,928,50.0,652559944,170734,17463888,74.0,317320682,2195610,13434,7576223,62837382,7241389,21.0,36,1,8.0,35919,6.0,133082789,60741,"97,169,903",1456448,True,2018,November
Espresso,Espresso,Sabrina Carpenter,USUV72401318,933,49.9,536986458,1,2,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,True,2024,April
Pretty Little Poison,Pretty Little Poison Single,Warren Zeiders,USWB12300190,932,49.9,142512477,23828,9380794,72.0,56277759,436896,100195,10946988,109014578,727842762,14.0,202432,7,4.0,177002,18.0,71730881,10200,"3,516,110",549127,False,2023,March
Coraz n Roto R,Coraz n Roto Re,Brray,USUM72305202,931,49.9,203212015,36459,13719365,67.0,178302256,677453,827700,24190123,359964365,362205003,27.0,12434,0,12.0,1842000,3.0,127732,684,0,836117,True,2023,April
Summer,Todo Exitos 2014 Los N mero 1 Del A,Calvin Harris,GBARL1400296,935,49.8,1497564072,255037,105180321,81.0,1989930606,8740440,1293032,116032171,1214191679,322680506,225.0,55500,119,170.0,1740585,36.0,332877611,236102,0,11380320,False,2014,January
Murder On My Mind,Murder On My Mind,YNW Melly,QMCE31801827,934,49.8,1055558326,208777,21077896,72.0,952644680,8820105,251510,44341738,350694950,39105354,18.0,299,42,10.0,8074,0.0,112050497,360013,0,2087864,True,2018,June
You Are The Reason,You Are The Reason,Calum Scott,USUM71710315,937,49.8,1042531612,119883,31204776,73.0,1425188874,10037251,1513635,180692022,1930209423,1629614639,70.0,18397,8,17.0,70256,8.0,292156274,102664,0,6610744,False,2017,November
Bad Liar,Bad Liar,Imagine Dragons,USUM71816161,938,49.8,1056929910,134812,31112950,74.0,908433462,8291217,1429594,181729752,2058078137,1802807851,54.0,118378,37,31.0,384519,12.0,130853305,106853,0,11123506,False,2018,November
Wild Ones feat Jelly Roll,Wild Ones feat Jelly Roll,Jessie Murph,USQX92304180,936,49.8,165347464,21942,13799115,0.0,43792907,313018,15847,603997,7395640,446100137,18.0,81,314,19.0,7719621,47.0,83726741,27712,"1,638,261",354116,True,2023,October
ROXANNE,ROXANNE,Arizona Zervas,USSM11914320,939,49.7,1474968552,170595,31145335,68.0,473697535,5439167,1513097,565840941,-2147483648,251187916,154.0,271106,583,78.0,626621,2.0,0,0,0,4556715,True,2019,October
Softly,Making Memories,Karan Aujla,CAW112300244,941,49.6,150073848,12340,8409772,71.0,232389376,1637844,70200,8387797,169068391,185360520,17.0,455,4,1.0,9696,20.0,46920,240,"2,691,081",270472,False,2023,August
Tacones Rojos,Tacones Rojos,Sebastian Yatra,USUM72119612,940,49.6,641756842,80542,23090494,68.0,558812868,2887216,328394,77295943,855230861,387792262,78.0,438,875,40.0,686168,85.0,9553399,8482,"723,371",2934783,False,2021,October
Ride the Vibe,Ride the Vibe,NEXZ,US5TA2400118,942,49.6,899456,147,2784044,46.0,31419384,139393,0,0,0,127867,2.0,31,0,1.0,5401,8.0,1012,2,0,8204,False,2024,May
family ties,family ties Single,Baby Keem,USSM12105949,945,49.5,786298066,204148,57623622,77.0,63403993,557514,55168,80647899,532021210,764790,62.0,21505,354,20.0,174320,38.0,6412824,10269,0,1938598,True,2021,August
Perdonarte Para Q,Perdonarte Para Q,Los ngeles Az,MX1722401778,943,49.5,19514243,1329,42180412,75.0,17545232,195611,0,0,0,16582955,16.0,1344,0,16.0,378750,10.0,181212,14,0,48790,False,2024,May
Whatever It Takes,Whatever It Takes,Imagine Dragons,USUM71703515,944,49.5,1257258072,156442,33271283,76.0,1192880501,7815307,202700,27054065,340416328,158079968,86.0,148594,260,37.0,367136,9.0,359252086,209287,0,12160416,False,2017,May
POP,IM NAYEON,NAYEON,US5TA2200041,946,49.4,296828933,25748,12535016,69.0,407776018,8669558,1937239,548973446,-2147483648,240970840,18.0,3491,83,3.0,17624,26.0,1106839,2484,0,445036,False,2022,June
Into the Unknown,New Horizons,ALPHA 9,GBEWA2206731,948,49.4,78985,67,5674,9.0,621561070,3598710,0,0,0,45996393,0.0,15,0,0.0,0,0.0,13012,0,"6,099",0,False,2023,January
Lonely At The Top,Work Of Art,Asake,USUYG1490059,947,49.4,84655991,13107,7678884,69.0,75076449,510479,1513241,16795588,382487197,72422815,36.0,11861,89,6.0,164069,26.0,779288,650,"1,367,844",2361169,False,2023,June
ecstacy slowed,ecstacy slowed,SUICIDAL IDOL,QZK6F2330686,949,49.3,242661037,43999,9893510,74.0,51722759,783780,499500,69556599,646143014,460974,5.0,0,948,1.0,9696,1.0,496607,1659,0,2552266,True,2023,June
Si Se Da,Si Se Da,Myke Towers,QM4TX1920224,952,49.3,317223968,47247,7578697,54.0,1867482161,5147665,15153,1209967,14034398,133593097,21.0,5622,9,6.0,74161,38.0,79260855,11001,0,1796737,True,2019,February
Holy feat Chance The Rapper,Holy,Justin Bieber,USUM72017013,950,49.3,787546548,110389,44478175,63.0,396861382,6241346,193594,69149295,561056269,1394478465,178.0,399515,339,51.0,257512,54.0,85450020,45037,0,3589419,False,2020,September
No Role Modelz,2014 Forest Hills Drive,J Cole,USQX91402598,955,49.3,-2147483648,403355,73668045,81.0,656310159,4852226,744556,138864977,885273359,184893947,115.0,11860,61,41.0,370317,21.0,657042048,203470,0,5513979,True,2014,December
Symphony feat Zara Larsson,Symphony feat Zara Larsson,Clean Bandit,GBAHS1700199,954,49.3,1456894713,141677,49274720,71.0,1523128022,9966382,707674,33256295,386013926,1419194972,173.0,84752,17,82.0,706468,41.0,76856978,79418,"18,687,841",9434537,False,2017,March
Rain On Me with Ariana Grande,Rain On Me with Ariana Grande,Lady Gaga,USUM72004304,951,49.3,1060378159,104647,55948663,68.0,514581598,6465409,442243,80912710,538854965,382160207,320.0,354978,438,143.0,2320730,105.0,62220803,71438,0,3888061,False,2020,May
Baddadan feat IRAH Flowdan Trigga Takura,Baddadan feat IRAH Flowdan Trigga Takura,Chase Status,GBUM72306881,953,49.3,118804209,57036,35240391,71.0,16072797,207183,0,0,0,125042,29.0,6016,0,14.0,2609137,34.0,154435,495,"6,256,341",908754,False,2023,July
10 35,10 35,Ti,CYA112001130,958,49.2,539802784,82093,99413749,74.0,94379586,652780,11473,5762615,119710596,487764676,187.0,60512,265,80.0,1747753,64.0,43487605,7144,0,2064142,False,2022,November
One Right Now with The Weeknd,One Right Now,Post Malone,USUM72120404,963,49.2,631789333,99512,27179361,65.0,182180447,1908939,30141,12902227,181078488,954672882,89.0,255213,1005,25.0,858001,34.0,103350630,11558,0,2041348,True,2021,November
A Thousand Years,A Thousand Years,Christina Perri,USAT21102141,964,49.2,1654956613,177834,80060384,77.0,-2147483648,19870174,4479720,848530861,-2147483648,1579447076,94.0,88803,66,66.0,114244,46.0,0,0,68,15974659,False,2011,October
Secreto,Secreto,Anuel AA,USXDR1900020,957,49.2,759388276,68502,18835572,65.0,1595484197,8161642,609042,40357374,543804719,306014364,40.0,159,15,43.0,358784,21.0,147935567,36380,"3,064,688",1317266,False,2019,January
Toda Remix Remix,Toda Remix,Alex Rose,QM4TX1838235,959,49.2,482021697,68578,13363939,66.0,1965829285,5786525,696400,34322459,289741256,30691906,25.0,2857,0,5.0,41009,14.0,67068115,20616,0,2148531,True,2018,June
I Hate U,I Hate U Single,SZA,USRC12103605,956,49.2,456871037,71261,34724014,66.0,142820854,1393679,877769,211488170,1676387442,85726782,105.0,136784,1324,29.0,699151,19.0,92133806,29242,"15,212,609",1854776,True,2021,December
Better Now,beerbongs bentleys,Post Malone,USUM71805170,962,49.2,1953403531,239092,47844195,74.0,48443287,734538,104133,9802093,97061584,0,144.0,350458,203,59.0,582382,79.0,467402120,251025,0,8827325,True,2018,April
Call Me Maybe,Kiss,Carly Rae Jepsen,CAB391100615,960,49.2,1394048309,211162,114187117,77.0,2007334200,12223928,418014,40431475,367016981,1811023591,222.0,200327,967,145.0,1939414,88.0,401427022,1189600,0,14252942,False,2012,January
Pobre Coraz,Pobre Coraz n En Vivo feat Onda Sabanera Si,Ke Personajes,QZN882353309,965,49.2,187127704,18938,5235073,65.0,425484500,857540,8176,2607049,30085568,188119455,8.0,5686,0,5.0,349806,7.0,0,0,0,432240,False,2023,March
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,DEUM71807719,966,49.2,995452298,188608,44047615,65.0,464369299,4586152,742947,75493341,1282810923,34091844,255.0,171176,196,166.0,2039570,43.0,46973428,14833,"26,135,531",14464887,False,2019,February
Tere Vaaste From Zara Hatke Zara Bachke,Tere Vaaste From Zara Hatke Zara Bachke,Varun Jain,INH102307782,961,49.2,203379355,14067,8370027,63.0,361600873,2581315,0,0,0,110775514,16.0,1319,0,0.0,0,12.0,0,0,0,376272,False,2023,May
Mi Kryptonita,Talento De Vida,Doble ONE Flow Letal,QZTB72322595,967,49.1,140356426,9363,5604254,0.0,87822276,963707,849600,119963984,1057039331,261296658,4.0,4,0,6.0,5463321,0.0,131941,873,0,961258,False,2023,October
Ram Pam Pam,Ram Pam Pam,NATTI NATASHA,USB272100106,968,49.1,257167813,38896,13810240,55.0,794011391,4280865,1887815,202617114,-2147483648,350033186,69.0,28737,176,20.0,116868,35.0,24761052,5667,0,1621368,True,2021,April
Milo J Bzrp Music Sessions Vol 57,en dormir sin Madrid,Bizarrap,UYB282301041,970,49.0,181516735,25092,10823656,0.0,155509942,2922165,0,0,0,53784475,7.0,1849,0,9.0,401523,15.0,62580,76,0,194645,False,2023,October
Stuck In The Middle,BABYMONSTER Pre Release Single Stuck In The Middle,BABYMONSTER,KRA402400004,972,49.0,21167612,1285,2035557,0.0,147951356,1755973,16500,8382900,70103300,80502081,5.0,284,0,0.0,0,8.0,0,0,0,47782,False,2024,February
No Se Va,No Se Va En Vivo EP,Grupo Frontera,QZHN72212529,973,49.0,582023797,48881,17367502,70.0,293059162,1383526,1100596,64787440,805988782,40039,26.0,18750,222,6.0,53465,16.0,84722896,25730,"192,143",1946266,False,2022,April
Aesthetic,Aesthetic,Xilo,QZFZ22071847,969,49.0,27312761,9048,2060708,38.0,3538161,118805,12562825,754488882,-2147483648,86473112,6.0,0,239,2.0,3328,0.0,174203,2348,0,26178,True,2020,February
get him back,GUTS,Olivia Rodrigo,USUG12304099,971,49.0,287724574,25460,15517447,0.0,54771296,818500,485830,47532963,469327093,1298782751,47.0,56,34,29.0,1998239,43.0,6371213,20559,"910,103",770996,True,2023,September
LA PEOPLE II,LA PEOPLE II,Peso Pluma,QM4TX2458976,978,48.9,123243341,5069,34480158,79.0,53762979,472820,0,171600,3100000,0,13.0,8,0,4.0,1081795,14.0,2185039,1024,0,121403,True,2024,March
Valerie Live At BBC Radio 1 Live Lounge London 2007,Back To Black Songs From The Original Motion Picture,Amy Winehouse,GBCAD2000628,974,48.9,562814594,17,25810,0.0,0,0,0,0,0,0,0.0,0,0,1.0,530,0.0,0,0,0,0,False,2024,April
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,USUG12401029,975,48.9,150693008,3273,15710281,0.0,15389385,261652,0,4822,39100,0,29.0,450,0,4.0,53098,52.0,3131451,12957,0,49802,True,2024,April
Your Love 9PM,Your Love 9PM,ATB,DECE72003523,976,48.9,721002104,146298,62920572,71.0,118729044,952700,25400,5772644,81735548,153714110,201.0,361427,220,115.0,2519598,27.0,24235804,2394,"5,026,745",7799522,False,2021,January
One Side,One Side,Iyanya,ZA41S2225757,977,48.9,23823099,10859,859682,53.0,75987807,365743,4024066,59428340,1004679876,42569293,3.0,2518,0,0.0,0,0.0,0,0,0,0,False,2022,September
HEAT STICK,HEAT STICK,Shoreline Mafia,USAT22402903,979,48.8,20538101,3675,33607850,74.0,3575151,101311,0,20600,108700,381728,23.0,370,5,5.0,38916,7.0,1637484,359,"1,415,426",75399,True,2024,May
Photograph,x Wembley Edition,Ed Sheeran,GBAHS1400094,980,48.8,-2147483648,208671,121163411,77.0,1884843329,9916244,1459274,502385405,-2147483648,1706776803,249.0,89818,80,234.0,603824,54.0,450907868,190210,"35,594,470",17163765,False,2013,January
Virginia Beach,For All The Dogs,Drake,USUG12306066,981,48.8,165204421,38562,6636362,0.0,16599214,126612,0,0,0,35874,5.0,1751,0,2.0,1924,8.0,5063703,5731,"6,243,171",349915,True,2023,October
Great Gatsby,Nostalgia,Rod Wave,USQX92305201,982,48.7,66813186,11024,4487030,0.0,75881981,409473,4842,4543062,34091093,359281223,11.0,1245,29,3.0,21417,16.0,18521097,26354,"13,491,731",395093,True,2023,September
1 2 3 feat Jason Derulo De La Ghetto,1 2 3 feat Jason Derulo De La Ghetto,Sof a R,USWL11700238,983,48.7,667508675,78737,29292148,61.0,1001147152,7847053,7162351,628778954,-2147483648,433920815,97.0,36727,152,63.0,323404,41.0,12798124,11917,0,8994016,False,2018,February
Ate e D,Ate e D,Mert Demir,USA2P2346453,984,48.7,98395711,14727,3591657,0.0,198114786,880794,0,3300292,84398578,107323281,10.0,11952,0,2.0,1567756,0.0,0,0,0,1134279,False,2023,September
Until I Found You with Em Beihold Em Beihold Version,Until I Found You Em Beihold Version,Stephen Sanchez,USUG12202266,986,48.6,1020452066,108274,75934462,79.0,114404861,1372385,228100,129184868,1013000586,995903,45.0,74239,0,27.0,250765,5.0,1435373,6073,"3,198,903",0,False,2022,April
Wants and Needs feat Lil Baby,Scary Hours 2,Drake,USUG12101042,985,48.6,793287638,225513,37094631,71.0,104966782,872923,36542,45722496,319496635,783169,130.0,18714,82,21.0,693216,18.0,57284328,23173,0,2221501,True,2021,March
Jiwa Yang Bersedih,Jiwa Yang Bersedih Single,Ghea Indrawari,FRX452328816,987,48.4,229120157,11931,7972917,69.0,136914720,1023397,1589944,378055132,-2147483648,45212529,6.0,3334,0,0.0,0,0.0,0,0,0,154129,False,2023,May
